影片名称,观影网站,上映时间,播放数量,收藏数量
新神榜：杨戬,www.bilibili.com/bangumi/play/ss43055?theme=movie,2022-08-19上映,2361.9万,78.9万
侏罗纪世界3,www.bilibili.com/bangumi/play/ss42328?theme=movie,2022-06-10上映,2165.8万,11.2万
让子弹飞,www.bilibili.com/bangumi/play/ss12548?theme=movie,2010-12-16上映,1.3亿,177.8万
你的名字,www.bilibili.com/bangumi/play/ss12044?theme=movie,2016-08-26上映,9566.9万,316.4万
坏蛋联盟,www.bilibili.com/bangumi/play/ss42715?theme=movie,2022-03-17上映,5732.7万,39.6万
大世界扭蛋机,www.bilibili.com/bangumi/play/ss41937?theme=movie,2022-06-30上映,7008.9万,24.8万
天才不能承受之重,www.bilibili.com/bangumi/play/ss43188?theme=movie,2022-03-12上映,276.4万,4.5万
扬名立万,www.bilibili.com/bangumi/play/ss39892?theme=movie,2021-11-11上映,7171.5万,82.1万
破局,www.bilibili.com/bangumi/play/ss43587?theme=movie,2022-10-26上映,138.1万,1562
四海,www.bilibili.com/bangumi/play/ss41540?theme=movie,2022-02-01上映,4685.1万,24.5万
白夜行,www.bilibili.com/bangumi/play/ss43659?theme=movie,2011-01-29上映,49.7万,3.3万
星际穿越,www.bilibili.com/bangumi/play/ss28585?theme=movie,2020-08-02上映,2301.1万,105.5万
头号玩家,www.bilibili.com/bangumi/play/ss42384?theme=movie,2018-03-29上映,822.1万,22.2万
正义联盟：扎克・施奈德版,www.bilibili.com/bangumi/play/ss38552?theme=movie,2021-03-18上映,4170.5万,134.2万
海的尽头是草原,www.bilibili.com/bangumi/play/ss43709?theme=movie,2022-09-09上映,207.7万,2.5万
新神榜：哪吒重生,www.bilibili.com/bangumi/play/ss37663?theme=movie,2021-02-12上映,3755.5万,56.4万
功夫,www.bilibili.com/bangumi/play/ss32523?theme=movie,2004-12-23上映,3687.4万,66.8万
肖申克的救赎,www.bilibili.com/bangumi/play/ss28274?theme=movie,1994-09-23上映,2661.7万,121.8万
绿皮书,www.bilibili.com/bangumi/play/ss33615?theme=movie,2019-03-01上映,2054.4万,81.8万
哈利・波特与魔法石,www.bilibili.com/bangumi/play/ss28281?theme=movie,2001-11-04上映,4447.7万,184.1万
姜子牙,www.bilibili.com/bangumi/play/ss35370?theme=movie,2020-10-01上映,2686.3万,146.9万
楚门的世界,www.bilibili.com/bangumi/play/ss25812?theme=movie,1998-06-05上映,1574.2万,80.2万
环太平洋,www.bilibili.com/bangumi/play/ss32436?theme=movie,2013-07-31上映,2481.9万,60.1万
天气之子,www.bilibili.com/bangumi/play/ss33343?theme=movie,2019-11-01上映,4385.5万,341.7万
头文字D,www.bilibili.com/bangumi/play/ss32635?theme=movie,2005-06-19上映,3050.5万,56万
教父,www.bilibili.com/bangumi/play/ss26416?theme=movie,1972-03-15上映,3194.9万,107.9万
武林外传,www.bilibili.com/bangumi/play/ss12445?theme=movie,2011-01-26上映,2857.6万,49.9万
声之形,www.bilibili.com/bangumi/play/ss12116?theme=movie,2017-09-08上映,3612.9万,254.9万
惊天魔盗团 ,www.bilibili.com/bangumi/play/ss10092?theme=movie,2013-10-10上映,490.3万,18.6万
盗梦空间,www.bilibili.com/bangumi/play/ss28586?theme=movie,2020-08-28上映,2161.8万,93.4万
追凶者也,www.bilibili.com/bangumi/play/ss11929?theme=movie,2016-09-14上映,1684.5万,33.2万
中国惊奇先生,www.bilibili.com/bangumi/play/ss10086?theme=movie,2015-06-19上映,1691.4万,59.5万
罗小黑战记,www.bilibili.com/bangumi/play/ss28198?theme=movie,2019-09-07上映,5348.8万,381.8万
惊天魔盗团2,www.bilibili.com/bangumi/play/ss26926?theme=movie,2016-06-24上映,1302.8万,37.6万
无间道,www.bilibili.com/bangumi/play/ss32395?theme=movie,2003-09-05上映,2160.1万,52.2万
猫鼠游戏,www.bilibili.com/bangumi/play/ss25844?theme=movie,2002-12-25上映,1274万,68.4万
唐人街探案3,www.bilibili.com/bangumi/play/ss38663?theme=movie,2021-02-12上映,4133.3万,61万
触不可及,www.bilibili.com/bangumi/play/ss39557?theme=movie,2011-11-02上映,436.8万,38.3万
末日之战,www.bilibili.com/bangumi/play/ss33173?theme=movie,2013-06-02上映,2120.7万,56.1万
无间道2,www.bilibili.com/bangumi/play/ss32396?theme=movie,2003-10-17上映,757.7万,18.9万
疯狂的赛车,www.bilibili.com/bangumi/play/ss39192?theme=movie,2009-01-20上映,604.5万,15.2万
烈日灼心,www.bilibili.com/bangumi/play/ss10060?theme=movie,2015-06-15上映,813万,25.9万
约定的梦幻岛,www.bilibili.com/bangumi/play/ss43082?theme=movie,2020-12-18上映,51.7万,1.8万
白蛇2：青蛇劫起,www.bilibili.com/bangumi/play/ss39104?theme=movie,2021-07-23上映,2829.1万,153.3万
哈利・波特与密室,www.bilibili.com/bangumi/play/ss28296?theme=movie,2003-01-24上映,2755.6万,89.3万
阿甘正传,www.bilibili.com/bangumi/play/ss25568?theme=movie,1994-07-06上映,2068.1万,104.1万
飞驰人生,www.bilibili.com/bangumi/play/ss33435?theme=movie,2019-02-05上映,1582.6万,31.5万
指环王1：护戒使者,www.bilibili.com/bangumi/play/ss33033?theme=movie,2021-04-16上映,2001.6万,71.4万
搜救,www.bilibili.com/bangumi/play/ss43710?theme=movie,2022-10-03上映,96.8万,3145
夺冠,www.bilibili.com/bangumi/play/ss34353?theme=movie,2020-09-25上映,5689.4万,92.3万
万万没想到,www.bilibili.com/bangumi/play/ss10006?theme=movie,2015-12-18上映,2193.3万,23.7万
蝙蝠侠：黑暗骑士,www.bilibili.com/bangumi/play/ss28280?theme=movie,2008-07-14上映,2724.5万,78.1万
紫罗兰永恒花园 剧场版 ,www.bilibili.com/bangumi/play/ss40028?theme=movie,2021-12-25上映,2452.2万,806.3万
超脱,www.bilibili.com/bangumi/play/ss12579?theme=movie,2011-04-25上映,806.1万,53.9万
哈利・波特与火焰杯,www.bilibili.com/bangumi/play/ss28298?theme=movie,2005-11-18上映,1923.7万,101.2万
哈利・波特与阿兹卡班的囚徒,www.bilibili.com/bangumi/play/ss28297?theme=movie,2004-09-10上映,2079.4万,73.8万
流浪地球,www.bilibili.com/bangumi/play/ss33358?theme=movie,2019-02-05上映,1666.1万,65.6万
毒战,www.bilibili.com/bangumi/play/ss12543?theme=movie,2012-11-15上映,840万,14.8万
大鱼海棠,www.bilibili.com/bangumi/play/ss11890?theme=movie,2016-07-08上映,2372.5万,64.3万
寒战,www.bilibili.com/bangumi/play/ss12514?theme=movie,2012-11-08上映,560.7万,9.5万
人在逋,www.bilibili.com/bangumi/play/ss37836?theme=movie,2010-06-04上映,787.4万,20.1万
变形金刚,www.bilibili.com/bangumi/play/ss25842?theme=movie,2007-07-11上映,1447.2万,36.1万
律政俏佳人,www.bilibili.com/bangumi/play/ss35055?theme=movie,2001-07-13上映,336.2万,19.7万
蝙蝠侠：黑暗骑士崛起,www.bilibili.com/bangumi/play/ss28318?theme=movie,2012-08-27上映,769.4万,35.2万
喜羊羊与灰太狼之筐出未来,www.bilibili.com/bangumi/play/ss41437?theme=movie,2022-02-01上映,3005.9万,127.5万
战狼,www.bilibili.com/bangumi/play/ss12492?theme=movie,2015-04-02上映,1391.4万,17.9万
哈利・波特与死亡圣器(上),www.bilibili.com/bangumi/play/ss28301?theme=movie,2010-11-19上映,1332.6万,106.8万
怦然心动,www.bilibili.com/bangumi/play/ss28980?theme=movie,2010-07-26上映,1389.4万,83.7万
哈利・波特与混血王子,www.bilibili.com/bangumi/play/ss28300?theme=movie,2009-07-15上映,1608.3万,109.4万
哈利・波特与凤凰社,www.bilibili.com/bangumi/play/ss28299?theme=movie,2007-08-10上映,1777.6万,109.6万
了不起的盖茨比,www.bilibili.com/bangumi/play/ss32432?theme=movie,2013-08-30上映,649.1万,45万
温暖的抱抱,www.bilibili.com/bangumi/play/ss37947?theme=movie,2020-12-31上映,5528.6万,42.2万
江湖论剑实录,www.bilibili.com/bangumi/play/ss12763?theme=movie,2014-08-15上映,459.6万,8.5万
十二公民,www.bilibili.com/bangumi/play/ss12485?theme=movie,2014-10-19上映,503.5万,16.9万
海蒂和爷爷,www.bilibili.com/bangumi/play/ss26976?theme=movie,2015-12-10上映,1389.4万,65.3万
明日边缘,www.bilibili.com/bangumi/play/ss29092?theme=movie,2014-06-06上映,947.9万,36.1万
沉默的羔羊,www.bilibili.com/bangumi/play/ss33897?theme=movie,1991-02-14上映,1083.7万,58.4万
欲望都市2,www.bilibili.com/bangumi/play/ss33013?theme=movie,2010-05-28上映,52.8万,2万
宝贝计划,www.bilibili.com/bangumi/play/ss33521?theme=movie,2006-09-28上映,776.4万,20.2万
海绵宝宝,www.bilibili.com/bangumi/play/ss32663?theme=movie,2015-12-01上映,1843.1万,55万
绣春刀,www.bilibili.com/bangumi/play/ss12476?theme=movie,2014-08-07上映,1333.4万,27万
窈窕淑女,www.bilibili.com/bangumi/play/ss38687?theme=movie,1964-12-25上映,227.1万,20万
甲方乙方,www.bilibili.com/bangumi/play/ss39238?theme=movie,1997-12-24上映,566.1万,17.6万
教父2,www.bilibili.com/bangumi/play/ss26427?theme=movie,1974-12-12上映,775.4万,29.6万
大世界扭蛋机 ・ 特别篇：明日之后,www.bilibili.com/bangumi/play/ss41936?theme=movie,2022-06-23上映,4233.1万,17.1万
憨豆特工,www.bilibili.com/bangumi/play/ss26977?theme=movie,2003-09-12上映,1181.9万,38.9万
帝国的毁灭,www.bilibili.com/bangumi/play/ss34041?theme=movie,2004-09-08上映,1897.8万,51.7万
狙击手,www.bilibili.com/bangumi/play/ss41414?theme=movie,2022-02-01上映,2439.5万,14.6万
钢琴家,www.bilibili.com/bangumi/play/ss26973?theme=movie,2002-05-24上映,781.6万,65.8万
情书,www.bilibili.com/bangumi/play/ss39429?theme=movie,2021-05-20上映,1214.5万,51.3万
哈利・波特与死亡圣器(下),www.bilibili.com/bangumi/play/ss28302?theme=movie,2011-08-04上映,1503.2万,64.6万
八恶人,www.bilibili.com/bangumi/play/ss39161?theme=movie,2015-12-07上映,511.8万,21.6万
刀剑神域：序列之争,www.bilibili.com/bangumi/play/ss12364?theme=movie,2017-09-15上映,4196.4万,114.9万
指环王2：双塔奇兵,www.bilibili.com/bangumi/play/ss33034?theme=movie,2021-04-23上映,779.3万,32.2万
沙丘,www.bilibili.com/bangumi/play/ss40396?theme=movie,2021-10-22上映,1935.6万,45.9万
神奇动物在哪里,www.bilibili.com/bangumi/play/ss34074?theme=movie,2016-11-25上映,1862.4万,165.7万
海绵宝宝历险记,www.bilibili.com/bangumi/play/ss25992?theme=movie,2004-11-19上映,3153.3万,67.2万
西线无战事,www.bilibili.com/bangumi/play/ss39094?theme=movie,1930-08-24上映,125.3万,7.3万
茜茜公主,www.bilibili.com/bangumi/play/ss38189?theme=movie,1955-12-22上映,288.4万,18.4万
指环王3：王者归来,www.bilibili.com/bangumi/play/ss33035?theme=movie,2021-05-14上映,745.9万,34.1万
